location,book_table,name
BTM,No,4903
BTM,Yes,168
Banashankari,No,840
Banashankari,Yes,64
Banaswadi,No,637
Banaswadi,Yes,8
Bannerghatta Road,No,1512
Bannerghatta Road,Yes,99
Basavanagudi,No,668
Basavanagudi,Yes,16
Bellandur,No,1173
Bellandur,Yes,98
Brigade Road,No,1039
Brigade Road,Yes,179
Brookefield,No,582
Brookefield,Yes,74
Church Street,No,387
Church Street,Yes,182
Commercial Street,No,370
Cunningham Road,No,316
Cunningham Road,Yes,175
Domlur,No,427
Domlur,Yes,55
Ejipura,No,434
Electronic City,No,1149
Electronic City,Yes,99
Frazer Town,No,712
Frazer Town,Yes,8
HSR,No,2279
HSR,Yes,217
Indiranagar,No,1579
Indiranagar,Yes,454
JP Nagar,No,1904
JP Nagar,Yes,315
Jayanagar,No,1637
Jayanagar,Yes,279
Kalyan Nagar,No,692
Kalyan Nagar,Yes,149
Kammanahalli,No,591
Kammanahalli,Yes,49
Koramangala 1st Block,No,1187
Koramangala 1st Block,Yes,50
Koramangala 4th Block,No,695
Koramangala 4th Block,Yes,322
Koramangala 5th Block,No,1789
Koramangala 5th Block,Yes,692
Koramangala 6th Block,No,1016
Koramangala 6th Block,Yes,113
Koramangala 7th Block,No,1012
Koramangala 7th Block,Yes,164
Lavelle Road,No,291
Lavelle Road,Yes,232
MG Road,No,547
MG Road,Yes,347
Malleshwaram,No,635
Malleshwaram,Yes,89
Marathahalli,No,1642
Marathahalli,Yes,166
New BEL Road,No,588
New BEL Road,Yes,56
Old Airport Road,No,378
Old Airport Road,Yes,59
Rajajinagar,No,550
Rajajinagar,Yes,41
Residency Road,No,523
Residency Road,Yes,151
Richmond Road,No,688
Richmond Road,Yes,116
Sarjapur Road,No,893
Sarjapur Road,Yes,156
Shanti Nagar,No,453
Shanti Nagar,Yes,58
Shivajinagar,No,476
Shivajinagar,Yes,23
St. Marks Road,No,219
St. Marks Road,Yes,124
Ulsoor,No,840
Ulsoor,Yes,177
Whitefield,No,1856
Whitefield,Yes,253
other,No,4590
other,Yes,372
